Trees,dbh
1,16.5
2,25.3
3,22.1
4,17.2
5,16.1
6,8.1
7,34.3
8,5.4
9,5.7
10,11.2
11,24.1
12,14.5
13,7.7
14,15.6
15,15.9
16,10
17,17.5
18,20.5
19,7.8
20,27.3
21,9.7
22,6.5
23,23.4
24,8.2
25,28.5
26,10.4
27,11.5
28,14.3
29,17.2
30,16.8
